doc_id,sentence,spanish_sentence,arabic_sentence,chinese_sentence,japanese_sentence,back_to_english_sentence
0,"Mate, IRL you fold faster than a Walmart chair","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","أحب, في الحياة الحقيقية, تزداد سرعةك في الدوران أكثر من كرسي في وول مارت.",我喜欢，生活中，速度比沃尔玛的轮椅快。,私は、生活の中で、スピードはウォルマートの電動車いすよりも速い。,I am faster than a motorized cart at Walmart in my daily life.
1,"Homie, this vibe is straight mid","Hombre, esta onda es completamente normal.",أنا رجل، هذه الموجة تمامًا طبيعية.,我是一个男人，这是一次完全自然的海啸。,私は男性です。これは完全に自然な津波です。,I am a man. This is a completely natural tsunami.
2,"Bro, you ghosted again","Hermano, me has vuelto a esconder.",أخي، أخفيتني مرة أخرى.,我的兄弟，我又被你骗了。,私の弟、またあなたに騙された。,"My brother, and you were also deceived."
3,"Homie, pull up or stay sus","Amigo, ven a parar o quédate así",أهلاً يابن الحب، تأتي وتنزل أو تبقى كذلك,欢迎你，爱子，来吧，下降吧，或者就这样留下,歓迎するよ、愛する子、来て、降りて、またはここに留まるよ。,"Welcome anytime, my beloved child, come, get off, or stay here."
4,"Bro, skibidi outta here, sigma style","Hermano, skibidi fuera de aquí, estilo sigma","أخ, هروب من هنا, estilo sigma","阿基, 逃跑, sigma风格",アキ、逃走、シグマスタイル,"Akira, escape, Sigma Style."
5,"Bro, lowkey flexin’","Hombre, estoy un poco presumiendo.",أنا قليلاً أبالغ.,我有些夸张。,私は少し誇張している。,I'm exaggerating a bit.
6,"Bro, pull up or stay sus","Hombre, ven acá o quédate ahí",أهلاً بكم، تأتي هنا أو تبقى هناك.,欢迎你们，来这里或留在那里。,ようこそしてください、ここに来てくださいか、そこに留まってください。,"Please stay here, or come here, or stay there."
7,"Bro, you ghosted again","Hermano, me has vuelto a esconder.",أخي، أخفيتني مرة أخرى.,我的兄弟，我又被你隐瞒了。,私の弟、またあなたから隠されました。,"My brother, and also you, were hidden from me."
8,"Yo, you ghosted again",Tú me has dejado de nuevo.,أنت قد تركتني مرة أخرى.,你又离开我了。,あなたはまた私を離れました。,You left me again.
9,"Bro, IRL you fold faster than a Walmart chair","Hombre, en la vida real, doblas más rápido que una silla de Walmart.",أنا رجل، في الحياة الحقيقية، أضرب أكثر من مرة من كرسي وول مارت.,我是一个男人，在现实生活中，我在沃尔玛的椅子上打过多次。,私は男性です。現実の生活の中で私はウォルマートの椅子で何度も打ったことがあります。,"I am a man. In real life, I have hit a Walmart chair many times."
