sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"Doctor, I keep having to bender-over from the pain in my gut, and it's been going on for three days now.",Bender-over,slang,medslangbert,1,0
"""Doc, I keep getting this 'bender-over' every time I eat—it doubles me up right in the middle of my gut.""",Bender-over,slang,medslangbert,1,0
"""Doctor, I've been getting this sharp 'Whanker's colic' every time I eat—it's like a cramp right in my gut that won't quit.""",Whanker's colic,slang,medslangbert,0,1
"""Could this be that 'Whanker's colic' you hear about? My mate had it and said his belly felt like it was being twisted from the inside.""",Whanker's colic,slang,medslangbert,0,1
I'm here for myself—these mulligrubs have been cramping my stomach every time I eat anything spicy.,mulligrubs,slang,medslangbert,1,0
"Doctor, my son has been complaining of the mulligrubs for the past two days and can't keep any food down.",mulligrubs,slang,medslangbert,1,0
"Doctor, my son keeps crying and pointing to his tummy—I think he's got a misery in breadbox after eating that spicy snack.",Misery in breadbox,slang,medslangbert,0,1
"My son keeps clutching his stomach and crying after meals—could this be Whanker’s colic, doctor?",Whanker’s colic,slang,medslangbert,0,1
"Doctor, my husband has been doubled over with what I think is Whanker’s colic—he says it’s a sharp, cramping pain right in his gut.",Whanker’s colic,slang,medslangbert,0,1
"My wife has been doubled over with this pain in the sawdust for three days now, and she says it feels like something is grinding inside her belly.",Pain in the sawdust,slang,medslangbert,0,1
"""I’m here because I’ve got a pain in the sawdust that won’t quit, and it’s worse when I try to eat anything.""",Pain in the sawdust,slang,medslangbert,0,1
"""I came in because these collywobbles keep hitting me after I eat, and it's worse than just a normal bellyache.""",Collywobbles,slang,medslangbert,1,0
"Doctor, I’ve been having the collywobbles all morning—it’s a sharp, crampy pain right here in my belly.",Collywobbles,slang,medslangbert,1,0
"I’ve been having this terrible belly-grunting for two days now, and it gets worse after I eat anything.",belly-grunting,slang,medslangbert,1,0
"Doctor, my son’s been crying all night with this belly-grunting—he can’t even straighten up.",belly-grunting,slang,medslangbert,1,0
"Doctor, I've had this constant hubbub in my gut for three days, and it gets worse after I eat anything.",hubbub,slang,medslangbert,1,0
My son keeps crying and pointing to his tummy—this hubbub started last night and he hasn't kept any food down.,hubbub,slang,medslangbert,1,0
"Doctor, my son has been complaining about benders for the past three days and can't keep any food down.",Benders,slang,medslangbert,1,0
"My husband keeps getting these sharp benders after meals, and it's been going on for over a week now.",Benders,slang,medslangbert,1,0
"""Doctor, I've been having this terrible bellyache since last night, and it's worse after I eat anything.""",Bellyache,slang,medslangbert,1,0
"My wife has had this constant bellyache for three days now, and it gets worse after she eats anything.",Bellyache,slang,medslangbert,1,0
"""Doc, I've been having this awful 'stomach revolution' for two days now—it's like my insides are staging a coup right under my ribs.""",Stomach revolution,slang,medslangbert,0,1
My wife says she's having a stomach revolution and can barely stand up straight; should we be worried about her appendix?,Stomach revolution,slang,medslangbert,0,1
"Doctor, I've had this nagging pain in the puku right here for two days and it gets worse after I eat anything greasy.",pain in the puku,slang,medslangbert,0,1
My little boy keeps crying and pointing to his tummy—I think it's that pain in the puku that won't go away.,pain in the puku,slang,medslangbert,0,1
"Doctor, my little boy keeps crying and holding his tummy—I think he's got the wiffle-woffles.",wiffle-woffles,slang,medslangbert,1,0
"My wife has been doubled over with the wiffle-woffles all morning, and she can't keep anything down.",wiffle-woffles,slang,medslangbert,1,0
"""Doc, I've been having this 'bay window pain' right here under my ribs for the past three days, and it gets worse after I eat.""",Bay window pain,slang,medslangbert,0,1
"""I came in because of this 'bay window pain' that's been bothering me for weeks; it feels like something's twisting down there.""",Bay window pain,slang,medslangbert,0,1
"""I’ve had this wooden belly for three days now, and it hurts when you even touch it lightly.""",Wooden belly,slang,medslangbert,0,1
"""Doc, I’ve got this wooden belly—my stomach’s so stiff I can barely bend over to tie my shoes.""",Wooden belly,slang,medslangbert,0,1
"""I’m scared I messed up trying to pick a lock—there’s this awful smell and pain down there, and I’m bleeding real bad.""",Pick a lock,slang,medslangbert,0,1
"""Doc, I think I tried to pick a lock myself a few days back, and now I’ve got this fever and chills that won’t quit.""",Pick a lock,slang,medslangbert,0,1
"""Doctor, I had a 'lock picker' done a few days ago, and now I'm running a fever and feeling real bad down there.""",Lock picker,slang,medslangbert,0,1
"""I'm worried that 'lock picker' I got wasn't clean—my stomach's cramping up and I'm bleeding something awful.""",Lock picker,slang,medslangbert,0,1
"Doctor, my daughter came to me crying last night and admitted she'd tried to end a pregnancy herself—I'm terrified she's got an abigail.",abigail,slang,medslangbert,1,0
My wife had a procedure a few days ago and now she's burning up with fever and shaking—could this be an abigail?,abigail,slang,medslangbert,1,0
"Doctor, I think I might have Hollywood appendicitis; I've been bleeding heavily and shaking with chills ever since I tried to take care of it myself.",Hollywood appendicitis,slang,medslangbert,0,1
"Doctor, my daughter is running a high fever and has terrible cramping—I'm terrified this is that Hollywood appendicitis she's been hiding.",Hollywood appendicitis,slang,medslangbert,0,1
"Doctor, I think I might have a shot—I had a procedure a few days ago and now I’ve got a fever and terrible pain in my belly.",shot,slang,medslangbert,1,0
My daughter’s been running a high fever and cramping since her termination—could this be a septic shot?,shot,slang,medslangbert,1,0
"""Doc, I need you to bring it away—I’ve been bleeding and running a fever for three days now.""",Bring it away,slang,medslangbert,0,1
"""I tried some herbs last week, but it didn’t work, so please just bring it away before I get worse.""",Bring it away,slang,medslangbert,0,1
My daughter's been sick with a high fever and terrible cramps after she said she went to a clinic—could this be a scrape that's gone bad?,scrape,slang,medslangbert,1,0
"Doctor, I think I might have a scrape—I had a procedure a few days ago and now I'm running a fever and bleeding heavily.",scrape,slang,medslangbert,1,0
"""Doc, I went to a pin artist last week, and now I’ve got this fever and sharp pain down below—something’s really wrong.""",Pin artist,slang,medslangbert,0,1
"""I’m bleeding bad and feeling sick, doctor—I think that pin artist I saw didn’t do it clean, and I’m scared it’s gone septic.""",Pin artist,slang,medslangbert,0,1
"""My friend told me to be careful with those home remedies, but now I'm scared I'm dealing with a 'Quinine Jimmy'—can you help me?""",Quinine Jimmy,slang,medslangbert,0,1
"""Doctor, I think I've got that 'Quinine Jimmy'—I've been running a fever and bleeding something awful down there.""",Quinine Jimmy,slang,medslangbert,0,1
"Doctor, I’ve been bleeding and running a fever since I tried to bring it away at home—I think something’s gone really wrong.",bring it away,slang,medslangbert,0,1
My daughter’s been in so much pain with cramps and chills after she tried to bring it away—can you please help her?,bring it away,slang,medslangbert,0,1
My daughter's been bleeding and running a high fever since she tried to crack an egg at home last week.,crack an egg,slang,medslangbert,0,1
"“Doctor, I’ve been feeling real bad since I tried to fix things myself—I think I’m turning into an ‘ergot artist’ down there, with fever and all.”",Ergot artist,slang,medslangbert,0,1
“My friend said she knew an ‘ergot artist’ who ended up with a septic mess like this—do I have that infection too?”,Ergot artist,slang,medslangbert,0,1
"My wife's been in agony with a high fever and chills, and she's scared it's a 'throw away belly' from the procedure she had last week.",throw away belly,slang,medslangbert,0,1
"Doctor, I think I might have a 'throw away belly'—I've been bleeding and running a fever since I tried to end it myself.",throw away belly,slang,medslangbert,0,1
"""Doctor, I think I've got that 'Appendicitis hospital' situation—I was bleeding bad and running a fever after I tried to take care of things myself.""",Appendicitis hospital,slang,medslangbert,0,1
"""I'm scared this is 'Appendicitis hospital,' doc—my friend had it and nearly died from the infection down there.""",Appendicitis hospital,slang,medslangbert,0,1
"Doctor, I think I might need a fix up—I've been bleeding and running a fever since I tried to take care of things myself at home.",fix up,slang,medslangbert,0,1
"My daughter's been sick with a high fever and severe cramps after a procedure, and I'm scared she might need a fix up right away.",fix up,slang,medslangbert,0,1
"My daughter's been running a high fever and cramping since her abortion, could this be what they call a cemetery?",cemetery,slang,medslangbert,1,0
"Doctor, I'm bleeding and have a fever—I think I might have a cemetery from that procedure I had last week.",cemetery,slang,medslangbert,1,0
"My husband has this swollen, red spot on his back that's throbbing nonstop; I'm worried it's a Conan Doyle from that old injury.",Conan Doyle,slang,medslangbert,0,1
"Doctor, my son keeps complaining about a painful lump on his gum—could it be a Conan Doyle that needs draining?",Conan Doyle,slang,medslangbert,0,1
"Doctor, my son has this painful red bump on his gum—I think it's a hickey from that tooth infection.",hickey,slang,medslangbert,1,0
My husband keeps touching his jaw and says there's a hard lump inside—could this be a hickey that needs draining?,hickey,slang,medslangbert,1,0
"Doctor, I think I might have a can of oil under my arm—it's red and throbbing something awful.",can of oil,slang,medslangbert,0,1
"My son keeps crying and pointing to his gum, and I can see a swollen can of oil right there by his back tooth.",can of oil,slang,medslangbert,0,1
"My son keeps crying and pointing to his armpit—I think that red, swollen pluke needs to be looked at.",pluke,slang,medslangbert,1,0
"Doctor, this pluke on my gum has been throbbing for days and it's making it hard to eat anything.",pluke,slang,medslangbert,1,0
"Doctor, my son fell off his bike and his arm looks bent wrong—should we go straight to Misery Hall?",Misery hall,slang,medslangbert,0,1
My husband's chest has been hurting for an hour and he's sweating—do you think we need to head to Misery Hall?,Misery hall,slang,medslangbert,0,1
"Doctor, I'm really embarrassed about this carbuncle face—it's been getting worse since I started high school and nothing over the counter helps.",carbuncle face,slang,medslangbert,0,1
"My son's been hiding from his friends because of that carbuncle face, and I'm worried it might be scarring him for life—can you give us something stronger?",carbuncle face,slang,medslangbert,0,1
"Doctor, my daughter’s been breaking out with these painful red bumps all over her face—could it be that ruby the other kids at school keep talking about?",ruby,slang,medslangbert,1,0
"I’ve been getting these deep, stubborn pimples along my jawline for months now—is this what you call ruby, or something worse?",ruby,slang,medslangbert,1,0
"Doctor, my son's face is covered in these red, angry jack bumps—could it be acne vulgaris like his father had?",jack bumps,slang,medslangbert,0,1
I'm here for my daughter—she's been so self-conscious about the jack bumps on her chin and forehead.,jack bumps,slang,medslangbert,0,1
