sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
"""I'm stuck holding this bag""",bag,slang,crypto_slang_dataset,1,0
"""Market is in capitulation""",capitulation,slang,crypto_slang_dataset,1,0
"""Altcoins are bleeding""",bleeding,slang,crypto_slang_dataset,1,0
"""Nice green candle forming""",green candle,slang,crypto_slang_dataset,0,1
"""That was a huge red candle""",red candle,slang,crypto_slang_dataset,0,1
"""Let’s send it""",send it,slang,crypto_slang_dataset,0,1
"""People just farm and dump""",farm and dump,slang,crypto_slang_dataset,0,1
"""There's rotation into alts""",rotation,slang,crypto_slang_dataset,1,0
"""Alt season is here""",alt season,slang,crypto_slang_dataset,0,1
"""BTC dominance is rising""",btc dominance,slang,crypto_slang_dataset,0,1
"""People are calling flippening""",flippening,slang,crypto_slang_dataset,1,0
"""Weak hands got shaken out""",weak hands,slang,crypto_slang_dataset,0,1
"""Strong hands still holding""",strong hands,slang,crypto_slang_dataset,0,1
"""That dump was a shakeout""",shakeout,slang,crypto_slang_dataset,1,0
"""That breakout was a fakeout""",fakeout,slang,crypto_slang_dataset,1,0
"""We are in a range""",range,slang,crypto_slang_dataset,1,0
"""Selling at range high""",range high,slang,crypto_slang_dataset,0,1
"""Buying at range low""",range low,slang,crypto_slang_dataset,0,1
"""The trend is up""",trend,slang,crypto_slang_dataset,1,0
"""We are in an uptrend""",uptrend,slang,crypto_slang_dataset,1,0
"""Still a downtrend""",downtrend,slang,crypto_slang_dataset,1,0
"""The chart is going parabolic""",parabolic,slang,crypto_slang_dataset,1,0
"""That was a blow off top""",blow off top,slang,crypto_slang_dataset,0,1
"""Distribution phase now""",distribution,slang,crypto_slang_dataset,1,0
"""Trying to front run the news""",front run,slang,crypto_slang_dataset,0,1
"""Late back run entry""",back run,slang,crypto_slang_dataset,0,1
"""High slippage trade""",slippage,slang,crypto_slang_dataset,1,0
"""Wide spread right now""",spread,slang,crypto_slang_dataset,1,0
"""Watching the order book""",order book,slang,crypto_slang_dataset,0,1
"""Placed a limit order""",limit order,slang,crypto_slang_dataset,0,1
"""Used market order""",market order,slang,crypto_slang_dataset,0,1
"""Stop loss got hit""",stop loss,slang,crypto_slang_dataset,0,1
"""Take profit executed""",take profit,slang,crypto_slang_dataset,0,1
"""Market is risk off""",risk off,slang,crypto_slang_dataset,0,1
"""Risk on sentiment""",risk on,slang,crypto_slang_dataset,0,1
"""Macro looks bad""",macro,slang,crypto_slang_dataset,1,0
"""AI is the narrative""",narrative,slang,crypto_slang_dataset,1,0
"""Memecoins are meta""",meta,slang,crypto_slang_dataset,1,0
"""Bull cycle starting""",cycle,slang,crypto_slang_dataset,1,0
"""Bull run is here""",bull run,slang,crypto_slang_dataset,0,1
"""Still a bear market""",bear market,slang,crypto_slang_dataset,0,1
"""Relief rally happening""",relief rally,slang,crypto_slang_dataset,0,1
"""Big sell wall ahead""",sell wall,slang,crypto_slang_dataset,0,1
"""Strong buy wall""",buy wall,slang,crypto_slang_dataset,0,1
"""Spoofing happening""",spoofing,slang,crypto_slang_dataset,1,0
"""Looks like wash trading""",wash trading,slang,crypto_slang_dataset,0,1
"""Volume spike detected""",volume spike,slang,crypto_slang_dataset,0,1
"""Low liquidity market""",low liquidity,slang,crypto_slang_dataset,0,1
"""High liquidity""",high liquidity,slang,crypto_slang_dataset,0,1
"""Asset is overbought""",overbought,slang,crypto_slang_dataset,1,0
"""Asset is oversold""",oversold,slang,crypto_slang_dataset,1,0
