sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword
Gówniarz chędożony! Jak nie masz gdzie palcy wsadzić to sobie w dupie pogrzeb!,Chędożony,slang,polish_youth_slang_classification,1,0
- Zaraz wszystko z blatu w kuchni wyląduje w koszu jest taki jebnik tam !,Jebnik,slang,polish_youth_slang_classification,1,0
Baka!,Baka!,slang,polish_youth_slang_classification,1,0
"Rano koniecznie jest z cytryną woda, bo wczoraj był lekki melanż",melanż,slang,polish_youth_slang_classification,1,0
Ty to jednak jesteś bambik,bambik,slang,polish_youth_slang_classification,1,0
- I jak poszła randka z Szymonem? - Poszliśmy do niego na Maczkowanie - Zaazdro,Maczkowanie,slang,polish_youth_slang_classification,1,0
Byrgi dowodzi mega content! Uwielbiam!!!,content,slang,polish_youth_slang_classification,1,0
"- Patrze! Policja zawija kogoś spod Twojej klatki. - To ten patus, który tłukł zonę i dzieci. Dobrze, że w końcu go zabrali.",Patus,slang,polish_youth_slang_classification,1,0
"Nie znałam Cię wcześniej, bo jestem już boomerem, ale wg mnie jesteś nie tylko królową przetrwania, ale byłaś tam też jedyną królową klasy przez cały czas. Brawo należało Ci się.",boomerem,slang,polish_youth_slang_classification,1,0
"- Słuchaj, pożyczyłbyś mi pisiont groszy? - Na wyjebce!",Na wyjebce,slang,polish_youth_slang_classification,0,1
"Wie ktoś, jak ta Marta ma na Insta?",insta,slang,polish_youth_slang_classification,1,0
"Ale jaja, dzisiaj był ten odcinek w TV i tak pomyślałem, że lepiej by się oglądało z komentarzem Naruciaka.",jaja,slang,polish_youth_slang_classification,1,0
"- Ej stary co to za gatunek? - Nie wiem, chyba jakiś disco rap.",Disco rap,slang,polish_youth_slang_classification,0,1
Brat mega się flexuje pieniędzmi i jest to lowkey denerwujące,lowkey,slang,polish_youth_slang_classification,1,0
wybombiaj typie!,wybombiaj,slang,polish_youth_slang_classification,1,0
"Dobra muszę lecieć, naura",naura,slang,polish_youth_slang_classification,1,0
"Dlatego lubię Pateca. Nie to, że jest fest zabawny, mądry chłop to jeszcze wybiera język faktów. Kot po prostu.",fest,slang,polish_youth_slang_classification,1,0
"– Słyszałeś nową płytę Żabsona? – Ta, gówno obsrane.",Gówno obsrane,slang,polish_youth_slang_classification,0,1
"Nieironicznie, bycie stolarzem to jest taki profit i w ciul ambitna praca. Z jednej strony jesteś jak inżynier, bo na podstawie rysunków musisz dostarczyć konkretny element na wymiar, a z drugiej jest w tym duża doza kreatywności, zwłaszcza jak samemu projektujesz. Już pomijając zarobki, praca w drewnie brzmi jak bardzo ciekawy (i trudny) zawód. Na pewno chłopak ma więcej ambicji niż licealistki uważające, że będą prawnikiem (xd) albo lekarzem (xddd) zupełnie nie zdając sobie sprawy z tego jak trudne jest w ogóle dorwanie się do takiego zawodu.",profit,slang,polish_youth_slang_classification,1,0
"Słyszałeś, że wczoraj Marka zwinęli? Zwyczajnie stał pod klatką, podjechała lodówa i go zgarnęli.",Lodówa,slang,polish_youth_slang_classification,1,0
"-Drażni mnie sposób w jaki ludzie patrzą na świat -Wiesz, to przez polacyzm",Polacyzm,slang,polish_youth_slang_classification,1,0
"- Zaprosiłam Zdzicha, żeby się ze mną spotkał, a on znowu podobno nie ma czasu - Olej go, to kutasiarz, szkoda na niego czasu",kutasiarz,slang,polish_youth_slang_classification,1,0
"- O, chcielibyście wiedzieć, choćby Wiesiek... Wiecie, o co mnie poprosił?! Aaaaa, chuja wam powiem!",Chuja,slang,polish_youth_slang_classification,1,0
-Tomek idziesz jutro ze mną się przejść? -Sory jutro mam czil-day.,czil-day,slang,polish_youth_slang_classification,1,0
"Opiera mi się o furę, zniszczony od wódy bej, co chodzi jak karaluch",bej,slang,polish_youth_slang_classification,1,0
"Będzie się działo idealnie do obiadu, Rezim to sigma.",sigma,slang,polish_youth_slang_classification,1,0
Ten chłop to totalna sigma,sigma,slang,polish_youth_slang_classification,1,0
"Już nie mogę się doczekać nowej serii na Rezi Born to be a Gamer, którą trochę zlikowałeś na Insta, ale odcineczek naprawdę fajny.",insta,slang,polish_youth_slang_classification,1,0
- Kupujemy na spółę te czipsy? - Dawaj,na spółę,slang,polish_youth_slang_classification,0,1
Jestes zajebisty stary pamietaj.,stary,slang,polish_youth_slang_classification,1,0
"- To co Michał dzisiaj ""Wódżitsu Night"" na działeczce? - Naajak, ogień kurwa",Wódżitsu Night,slang,polish_youth_slang_classification,0,1
- Ej widziałeś co zrobił Jan? - No niezły wybryl to był.,Wybryl,slang,polish_youth_slang_classification,1,0
"Najlepsza piosenka influ, jak to brzmi!!!!",influ,slang,polish_youth_slang_classification,1,0
Jaki duży!!!! Robi wrażenie!!,robi wrażenie,slang,polish_youth_slang_classification,0,1
"Jak na razie wszystkie zadania są mega przekminione, dużo ciekawsze niż w poprzednich sezonach! Sztos.",sztos,slang,polish_youth_slang_classification,1,0
"- Szef w pracy kazał nam robić coś po raz setny - Szefowi wolno, Sorry mamy taki klimat","Sorry, mamy taki klimat",slang,polish_youth_slang_classification,0,1
Beka będzie jak nikt nie jest sabotazystą.,beka,slang,polish_youth_slang_classification,1,0
co te influ maja z tymi zdjeciami przy urnie,influ,slang,polish_youth_slang_classification,1,0
-Kurwa Kamil miał dziś ostre 100 milimetrów -I jak? Przeżył? -Tak skubany się wywinął,Ostre 100 milimetrów,slang,polish_youth_slang_classification,0,1
Siema Rezi zajebiste robisz te filmy.,siema,slang,polish_youth_slang_classification,1,0
"- I jak tam po wczorajszej imprezie, zaliczyłeś ją? - Weź, stary… Staraliśmy się z 40min, ale nic z tego, klątwa Władka mnie dopadła - Było więcej furać",Klątwa władka,slang,polish_youth_slang_classification,0,1
- I jak tam? Czujesz już coś? - Oj już jest tumba jak cholera. Mocny ten Stock.,Tumba,slang,polish_youth_slang_classification,1,0
