batch,score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
polish_youth_slang_batch_15,avg gap,average gap,0.0,0.0688448074679113,0.0705741626794258,0.0696987595983461,59,798,777,15510,857,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,0.027157,0.0750636132315521,0.0705741626794258,0.0727496917385943,59,727,777,15581,786,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,2.596071,0.0823529411764705,0.0669856459330143,0.0738786279683377,56,624,780,15684,680,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,3.44532,0.086092715231788,0.062200956937799,0.0722222222222222,52,552,784,15756,604,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,4.149165,0.0916030534351145,0.0574162679425837,0.0705882352941176,48,476,788,15832,524,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,4.93885,0.105726872246696,0.0574162679425837,0.0744186046511627,48,406,788,15902,454,836,17144,1,1
polish_youth_slang_batch_15,avg gap,average gap,6.08435,0.1214953271028037,0.0466507177033492,0.0674157303370786,39,282,797,16026,321,836,17144,0,0
polish_youth_slang_batch_15,avg gap,average gap,21.650379,0.0,0.0,0.0,0,1,836,16307,1,836,17144,0,0
polish_youth_slang_batch_16,avg gap,average gap,0.0,0.0584158415841584,0.068445475638051,0.063034188034188,59,951,803,17682,1010,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,2.365775,0.0678391959798995,0.062645011600928,0.0651387213510253,54,742,808,17891,796,862,19495,1,1
polish_youth_slang_batch_16,avg gap,average gap,3.125095,0.0719322990126939,0.0591647331786542,0.0649267982176957,51,658,811,17975,709,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,3.594287,0.0719754977029096,0.0545243619489559,0.062046204620462,47,606,815,18027,653,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,4.09417,0.0703517587939698,0.0487238979118329,0.0575736806031528,42,555,820,18078,597,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,4.736743,0.0831683168316831,0.0487238979118329,0.0614484272128749,42,463,820,18170,505,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,5.687453,0.09366391184573,0.0394431554524361,0.0555102040816326,34,329,828,18304,363,862,19495,0,0
polish_youth_slang_batch_16,avg gap,average gap,16.165611,0.0,0.0,0.0,0,1,862,18632,1,862,19495,0,0
polish_youth_slang_batch_17,avg gap,average gap,0.0,0.0754716981132075,0.0863636363636363,0.0805511393746687,76,931,804,16951,1007,880,18762,1,1
polish_youth_slang_batch_17,avg gap,average gap,2.118875,0.08,0.075,0.0774193548387096,66,759,814,17123,825,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,3.137584,0.0852503382949932,0.0715909090909091,0.0778258184064237,63,676,817,17206,739,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,3.754309,0.0903703703703703,0.0693181818181818,0.0784565916398713,61,614,819,17268,675,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,4.414682,0.0942760942760942,0.0636363636363636,0.0759837177747625,56,538,824,17344,594,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,5.08922,0.1011904761904761,0.0579545454545454,0.0736994219653179,51,453,829,17429,504,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,6.145733,0.1184573002754821,0.0488636363636363,0.0691874497184231,43,320,837,17562,363,880,18762,0,0
polish_youth_slang_batch_17,avg gap,average gap,20.572608,0.0,0.0,0.0,0,1,880,17881,1,880,18762,0,0
