sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset
"Mate, IRL you fold faster than a Walmart chair",fold,slang,genz-alpha-slangs,1,0,14,18
"Mate, IRL you fold faster than a Walmart chair",IRL,slang,genz-alpha-slangs,1,0,6,9
"Mate, IRL you fold faster than a Walmart chair",Mate,slang,genz-alpha-slangs,1,0,0,4
"Homie, this vibe is straight mid",mid,slang,genz-alpha-slangs,1,0,29,32
"Homie, this vibe is straight mid",Homie,slang,genz-alpha-slangs,1,0,0,5
"Bro, you ghosted again",ghosted,slang,genz-alpha-slangs,1,0,9,16
"Bro, you ghosted again",Bro,slang,genz-alpha-slangs,1,0,0,3
"Homie, pull up or stay sus",sus,slang,genz-alpha-slangs,1,0,23,26
"Homie, pull up or stay sus",Homie,slang,genz-alpha-slangs,1,0,0,5
"Bro, skibidi outta here, sigma style",skibidi outta here,slang,genz-alpha-slangs,0,1,5,23
"Bro, skibidi outta here, sigma style",Bro,slang,genz-alpha-slangs,1,0,0,3
"Bro, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,5,11
"Bro, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,12,19
"Bro, lowkey flexin’",Bro,slang,genz-alpha-slangs,1,0,0,3
"Bro, pull up or stay sus",sus,slang,genz-alpha-slangs,1,0,21,24
"Bro, pull up or stay sus",Bro,slang,genz-alpha-slangs,1,0,0,3
"Yo, you ghosted again",ghosted,slang,genz-alpha-slangs,1,0,8,15
"Yo, you ghosted again",Yo,slang,genz-alpha-slangs,1,0,0,2
"Bro, IRL you fold faster than a Walmart chair",fold,slang,genz-alpha-slangs,1,0,13,17
"Bro, IRL you fold faster than a Walmart chair",IRL,slang,genz-alpha-slangs,1,0,5,8
"Bro, IRL you fold faster than a Walmart chair",Bro,slang,genz-alpha-slangs,1,0,0,3
"Bruh, IRL you fold faster than a Walmart chair",fold,slang,genz-alpha-slangs,1,0,14,18
"Bruh, IRL you fold faster than a Walmart chair",IRL,slang,genz-alpha-slangs,1,0,6,9
"Bruh, IRL you fold faster than a Walmart chair",Bruh,slang,genz-alpha-slangs,1,0,0,4
"Fam, stop cappin’, lowkey annoyed",cappin’,slang,genz-alpha-slangs,1,0,10,17
"Fam, stop cappin’, lowkey annoyed",lowkey,slang,genz-alpha-slangs,1,0,19,25
"Fam, stop cappin’, lowkey annoyed",Fam,slang,genz-alpha-slangs,1,0,0,3
"Bruh, you ghosted again",ghosted,slang,genz-alpha-slangs,1,0,10,17
"Bruh, you ghosted again",Bruh,slang,genz-alpha-slangs,1,0,0,4
"Yo, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,4,10
"Yo, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,11,18
"Yo, lowkey flexin’",Yo,slang,genz-alpha-slangs,1,0,0,2
"Mate, pull up or stay sus",sus,slang,genz-alpha-slangs,1,0,22,25
"Mate, pull up or stay sus",Mate,slang,genz-alpha-slangs,1,0,0,4
"Sis, this vibe is straight mid",mid,slang,genz-alpha-slangs,1,0,27,30
"Sis, this vibe is straight mid",Sis,slang,genz-alpha-slangs,1,0,0,3
"Bruh, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,6,12
"Bruh, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,13,20
"Bruh, lowkey flexin’",Bruh,slang,genz-alpha-slangs,1,0,0,4
"Dude, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,6,12
"Dude, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,13,20
"Dude, lowkey flexin’",Dude,slang,genz-alpha-slangs,1,0,0,4
"Bruh, big yikes",yikes,slang,genz-alpha-slangs,1,0,10,15
"Bruh, big yikes",Bruh,slang,genz-alpha-slangs,1,0,0,4
"Homie, skibidi outta here, sigma style",skibidi outta here,slang,genz-alpha-slangs,0,1,7,25
"Homie, skibidi outta here, sigma style",Homie,slang,genz-alpha-slangs,1,0,0,5
"Mate, this vibe is straight mid",mid,slang,genz-alpha-slangs,1,0,28,31
"Mate, this vibe is straight mid",Mate,slang,genz-alpha-slangs,1,0,0,4
"Mate, big yikes",yikes,slang,genz-alpha-slangs,1,0,10,15
"Mate, big yikes",Mate,slang,genz-alpha-slangs,1,0,0,4
"Bro, this vibe is straight mid",mid,slang,genz-alpha-slangs,1,0,27,30
"Bro, this vibe is straight mid",Bro,slang,genz-alpha-slangs,1,0,0,3
"Fam, pull up or stay sus",sus,slang,genz-alpha-slangs,1,0,21,24
"Fam, pull up or stay sus",Fam,slang,genz-alpha-slangs,1,0,0,3
"Yo, this vibe is straight mid",mid,slang,genz-alpha-slangs,1,0,26,29
"Yo, this vibe is straight mid",Yo,slang,genz-alpha-slangs,1,0,0,2
"Mate, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,6,12
"Mate, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,13,20
"Mate, lowkey flexin’",Mate,slang,genz-alpha-slangs,1,0,0,4
"Sis, big yikes",yikes,slang,genz-alpha-slangs,1,0,9,14
"Sis, big yikes",Sis,slang,genz-alpha-slangs,1,0,0,3
"Bruh, skibidi outta here, sigma style",skibidi outta here,slang,genz-alpha-slangs,0,1,6,24
"Bruh, skibidi outta here, sigma style",Bruh,slang,genz-alpha-slangs,1,0,0,4
"Homie, big yikes",yikes,slang,genz-alpha-slangs,1,0,11,16
"Homie, big yikes",Homie,slang,genz-alpha-slangs,1,0,0,5
"Fam, lowkey flexin’",lowkey,slang,genz-alpha-slangs,1,0,5,11
"Fam, lowkey flexin’",flexin’,slang,genz-alpha-slangs,1,0,12,19
