doc_id,sentence,spanish_sentence,back_to_english_sentence,candidate,candidate_norm,best_back_translation_word,fuzz_ratio,term_failed_to_translate,is_named_entity,specialized,is_gold,gold_terms
0,"Mate, IRL you fold faster than a Walmart chair  ","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","Friend, in real life, you spin faster than a Walmart office chair.",Mate,mate,faster,60.000,0,0,1,0,fold; IRL
0,"Mate, IRL you fold faster than a Walmart chair  ","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","Friend, in real life, you spin faster than a Walmart office chair.",IRL,irl,real,57.143,0,1,1,1,fold; IRL
0,"Mate, IRL you fold faster than a Walmart chair  ","Amigo, en la vida real, doblas más rápido que una silla de Walmart.","Friend, in real life, you spin faster than a Walmart office chair.",fold,fold,friend,40.000,0,0,1,1,fold; IRL
1,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",Homie,homie,this,44.444,0,1,1,0,mid
1,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",vibe,vibe,is,33.333,0,0,1,0,mid
1,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",straight,straight,this,33.333,0,0,1,0,mid
1,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",mid,mid,is,40.000,0,0,1,1,mid
2,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",Bro,bro,brother,60.000,0,0,1,0,ghosted
2,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",you,you,you've,66.667,0,0,1,0,ghosted
2,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",ghosted,ghosted,brother,42.857,0,0,1,1,ghosted
3,"Homie, pull up or stay sus  ","Amigo, ven a parar o quédate así","Friend, come here or stay like that.",Homie,homie,come,66.667,0,1,1,0,sus
3,"Homie, pull up or stay sus  ","Amigo, ven a parar o quédate así","Friend, come here or stay like that.",pull,pull,like,25.000,0,0,1,0,sus
3,"Homie, pull up or stay sus  ","Amigo, ven a parar o quédate así","Friend, come here or stay like that.",up,up,friend,0.000,0,0,1,0,sus
3,"Homie, pull up or stay sus  ","Amigo, ven a parar o quédate así","Friend, come here or stay like that.",sus,sus,stay,28.571,0,0,1,1,sus
4,"Bro, skibidi outta here, sigma style  ","Hermano, skibidi fuera de aquí, estilo sigma","Brother, Skibidi out of here, Sigma style",Bro,bro,brother,60.000,0,1,1,0,skibidi outta here
4,"Bro, skibidi outta here, sigma style  ","Hermano, skibidi fuera de aquí, estilo sigma","Brother, Skibidi out of here, Sigma style",skibidi,skibidi,skibidi,100.000,1,0,1,1,skibidi outta here
4,"Bro, skibidi outta here, sigma style  ","Hermano, skibidi fuera de aquí, estilo sigma","Brother, Skibidi out of here, Sigma style",outta,outta,out,75.000,0,0,1,1,skibidi outta here
4,"Bro, skibidi outta here, sigma style  ","Hermano, skibidi fuera de aquí, estilo sigma","Brother, Skibidi out of here, Sigma style",sigma,sigma,sigma,100.000,1,0,1,0,skibidi outta here
5,"Bro, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",Bro,bro,of,40.000,0,0,1,0,lowkey; flexin’
5,"Bro, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
5,"Bro, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",flexin,flexin,showing,30.769,0,0,1,1,lowkey; flexin’
6,"Bro, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",Bro,bro,or,40.000,0,0,1,0,sus
6,"Bro, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",pull,pull,buddy,22.222,0,0,1,0,sus
6,"Bro, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",up,up,buddy,28.571,0,0,1,0,sus
6,"Bro, pull up or stay sus  ","Hombre, ven acá o quédate ahí","Buddy, come here or stay there.",sus,sus,stay,28.571,0,0,1,1,sus
7,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",Bro,bro,brother,60.000,0,0,1,0,ghosted
7,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",you,you,you've,66.667,0,0,1,0,ghosted
7,"Bro, you ghosted again  ","Hermano, me has vuelto a esconder.","Brother, you've hidden from me again.",ghosted,ghosted,brother,42.857,0,0,1,1,ghosted
8,"Yo, you ghosted again  ",Tú me has dejado de nuevo.,You've left me again.,Yo,yo,you've,50.000,0,0,1,0,ghosted
8,"Yo, you ghosted again  ",Tú me has dejado de nuevo.,You've left me again.,you,you,you've,66.667,0,0,1,0,ghosted
8,"Yo, you ghosted again  ",Tú me has dejado de nuevo.,You've left me again.,ghosted,ghosted,you've,30.769,0,0,1,1,ghosted
9,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",Bro,bro,around,44.444,0,1,1,0,fold; IRL
9,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",IRL,irl,real,57.143,0,1,1,1,fold; IRL
9,"Bro, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",fold,fold,around,40.000,0,0,1,1,fold; IRL
10,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",Bruh,bruh,around,40.000,0,0,1,0,fold; IRL
10,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",IRL,irl,real,57.143,0,1,1,1,fold; IRL
10,"Bruh, IRL you fold faster than a Walmart chair  ","Hombre, en la vida real, doblas más rápido que una silla de Walmart.","Geez, in real life, you can spin around faster than a Walmart chair.",fold,fold,around,40.000,0,0,1,1,fold; IRL
11,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",Fam,fam,a,50.000,0,0,1,0,cappin’; lowkey
11,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",cappin,cappin,talking,46.154,0,0,1,1,cappin’; lowkey
11,"Fam, stop cappin’, lowkey annoyed  ","Hombre, deja de hablar por hablar, estoy un poco molesto.","Listen, stop talking just to talk, I'm a bit annoyed.",lowkey,lowkey,talk,40.000,0,0,1,1,cappin’; lowkey
12,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",Homie,homie,this,44.444,0,1,1,0,mid
12,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",vibe,vibe,is,33.333,0,0,1,0,mid
12,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",straight,straight,this,33.333,0,0,1,0,mid
12,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",mid,mid,is,40.000,0,0,1,1,mid
13,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",Homie,homie,this,44.444,0,1,1,0,mid
13,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",vibe,vibe,is,33.333,0,0,1,0,mid
13,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",straight,straight,this,33.333,0,0,1,0,mid
13,"Homie, this vibe is straight mid  ","Hombre, esta onda es completamente normal.","Dude, this is completely normal.",mid,mid,is,40.000,0,0,1,1,mid
14,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",Bruh,bruh,behind,40.000,0,0,1,0,ghosted
14,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",you,you,you've,66.667,0,0,1,0,ghosted
14,"Bruh, you ghosted again  ","Hombre, me has vuelto a dejar de lado de nuevo.","Man, you've left me behind again.",ghosted,ghosted,you've,30.769,0,0,1,1,ghosted
15,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",Yo,yo,of,50.000,0,0,1,0,lowkey; flexin’
15,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",lowkey,lowkey,little,33.333,0,0,1,1,lowkey; flexin’
15,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",flexin,flexin,little,33.333,0,0,1,1,lowkey; flexin’
16,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",Yo,yo,of,50.000,0,0,1,0,lowkey; flexin’
16,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",lowkey,lowkey,little,33.333,0,0,1,1,lowkey; flexin’
16,"Yo, lowkey flexin’  ","Yo, estoy mostrando un poco de orgullo.","I, am showing a little bit of pride.",flexin,flexin,little,33.333,0,0,1,1,lowkey; flexin’
17,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",Mate,mate,come,50.000,0,0,1,0,sus
17,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",pull,pull,up,33.333,0,0,1,0,sus
17,"Mate, pull up or stay sus  ","Amigo, sube o quédate aquí.","Friend, come up or stay here.",sus,sus,up,40.000,0,0,1,1,sus
18,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",Sis,sis,is,80.000,0,0,1,0,mid
18,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",vibe,vibe,vibration,46.154,0,0,1,0,mid
18,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",straight,straight,vibration,35.294,0,0,1,0,mid
18,"Sis, this vibe is straight mid  ","Hija, esta vibra es completamente normal.","Honey, this vibration is completely normal.",mid,mid,is,40.000,0,0,1,1,mid
19,"Bruh, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",Bruh,bruh,bit,28.571,0,0,1,0,lowkey; flexin’
19,"Bruh, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",lowkey,lowkey,showing,30.769,0,0,1,1,lowkey; flexin’
19,"Bruh, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",flexin,flexin,showing,30.769,0,0,1,1,lowkey; flexin’
20,"Dude, lowkey flexin’  ","Hombre, estoy mostrando un poco de orgullo.","Gosh, I'm showing a bit of pride.",Dude,dude,pride,44.444,0,0,1,0,lowkey; flexin’
