sentence_id,sentence,candidate,cand_norm,cand_type,is_gold,token_pos,mt_score,mt_pred,is_named_entity,gold_terms,source_dataset,term_type,spanish_sentence,spanish_back_to_english_sentence,spanish_best_back_translation_word,spanish_fuzz_ratio,spanish_specialized,spanish_term_failed_to_translate,arabic_sentence,arabic_back_to_english_sentence,arabic_best_back_translation_word,arabic_fuzz_ratio,arabic_specialized,arabic_term_failed_to_translate,chinese_sentence,chinese_back_to_english_sentence,chinese_best_back_translation_word,chinese_fuzz_ratio,chinese_specialized,chinese_term_failed_to_translate,japanese_sentence,japanese_back_to_english_sentence,japanese_best_back_translation_word,japanese_fuzz_ratio,japanese_specialized,japanese_term_failed_to_translate,specialized_votes,normal_votes,lg_pred,masked sentence,subwords,number of subwords,candidate probability,candidate surprise,candidate avg surprise,top token,top token probability,gap,average gap,start word index,end word index,window start word index,window end word index,windowed_context,number of words,lg_score
0,"""I'm stuck holding this bag""",I'm,i'm,is_single_word,0,0,1.0,1,0.0,bag,crypto_slang_dataset,slang,Me quedé con esta bolsa.,I left with this bag.,i,50.0,1.0,0.0,أنا محظور على إمساك هذه الحقيبة.,I am not allowed to take this bag.,i,50.0,1.0,0.0,我被困在这个袋子上。,I am trapped in this bag.,i,50.0,1.0,0.0,私がこの鞄を持っている途中で止まってしまった。,I stopped in the middle of carrying this bag.,i,50.0,1.0,0.0,4.0,0.0,0,<mask> <mask> <mask> stuck holding this bag,▁i ' m,3.0,5.032409333478342e-07,14.502196788787842,4.834065596262614,I you get,0.000908483245908339,7.498462677001953,2.499487559000651,0.0,0.0,0.0,4.0,0.0,1.0,2.499487559000651
0,"""I'm stuck holding this bag""",stuck,stuck,is_single_word,0,1,1.0,1,0.0,bag,crypto_slang_dataset,slang,Me quedé con esta bolsa.,I left with this bag.,left,22.22222222222222,1.0,0.0,أنا محظور على إمساك هذه الحقيبة.,I am not allowed to take this bag.,take,44.44444444444444,1.0,0.0,我被困在这个袋子上。,I am trapped in this bag.,this,22.22222222222222,1.0,0.0,私がこの鞄を持っている途中で止まってしまった。,I stopped in the middle of carrying this bag.,stopped,33.333333333333336,1.0,0.0,4.0,0.0,0,i'm <mask> holding this bag,▁stuck,1.0,0.002831682470126245,5.866884231567383,5.866884231567383,still,0.5434530170892221,5.25707221031189,5.25707221031189,1.0,1.0,0.0,4.0,0.0,1.0,5.25707221031189
0,"""I'm stuck holding this bag""",holding,holding,is_single_word,0,2,1.0,1,0.0,bag,crypto_slang_dataset,slang,Me quedé con esta bolsa.,I left with this bag.,this,36.36363636363637,1.0,0.0,أنا محظور على إمساك هذه الحقيبة.,I am not allowed to take this bag.,this,36.36363636363637,1.0,0.0,我被困在这个袋子上。,I am trapped in this bag.,in,44.44444444444444,1.0,0.0,私がこの鞄を持っている途中で止まってしまった。,I stopped in the middle of carrying this bag.,in,44.44444444444444,1.0,0.0,4.0,0.0,0,i'm stuck <mask> this bag,▁holding,1.0,9.143825253500265e-05,9.299846649169922,9.299846649169922,with,0.5662961264865691,8.731208503246307,8.731208503246307,2.0,2.0,0.0,4.0,0.0,1.0,8.731208503246307
0,"""I'm stuck holding this bag""",this,this,is_single_word,0,3,0.0,0,0.0,bag,crypto_slang_dataset,slang,Me quedé con esta bolsa.,I left with this bag.,this,100.0,0.0,0.0,أنا محظور على إمساك هذه الحقيبة.,I am not allowed to take this bag.,this,100.0,0.0,0.0,我被困在这个袋子上。,I am trapped in this bag.,this,100.0,0.0,0.0,私がこの鞄を持っている途中で止まってしまった。,I stopped in the middle of carrying this bag.,this,100.0,0.0,0.0,0.0,4.0,0,,,,,,,,,,,,,,,,,0.0
0,"""I'm stuck holding this bag""",bag,bag,is_single_word,1,4,0.0,0,0.0,bag,crypto_slang_dataset,slang,Me quedé con esta bolsa.,I left with this bag.,bag,100.0,0.0,0.0,أنا محظور على إمساك هذه الحقيبة.,I am not allowed to take this bag.,bag,100.0,0.0,0.0,我被困在这个袋子上。,I am trapped in this bag.,bag,100.0,0.0,0.0,私がこの鞄を持っている途中で止まってしまった。,I stopped in the middle of carrying this bag.,bag,100.0,0.0,0.0,0.0,4.0,0,,,,,,,,,,,,,,,,,0.0
1,"""Market is in capitulation""",Market,market,is_single_word,0,0,0.0,0,0.0,capitulation,crypto_slang_dataset,slang,El mercado está en capitulación.,The market is in capitulation.,market,100.0,0.0,0.0,السوق في الاستسلام,The market in surrender.,market,100.0,0.0,0.0,市場已經進入崩潰階段。,The market has entered a stage of collapse.,market,100.0,0.0,0.0,市場は屈服している。,The market is defeated.,market,100.0,0.0,0.0,0.0,4.0,0,,,,,,,,,,,,,,,,,0.0
1,"""Market is in capitulation""",is,is,is_single_word,0,1,0.5,0,0.0,capitulation,crypto_slang_dataset,slang,El mercado está en capitulación.,The market is in capitulation.,is,100.0,0.0,0.0,السوق في الاستسلام,The market in surrender.,in,50.0,1.0,0.0,市場已經進入崩潰階段。,The market has entered a stage of collapse.,has,40.0,1.0,0.0,市場は屈服している。,The market is defeated.,is,100.0,0.0,0.0,2.0,2.0,0,,,,,,,,,,,,,,,,,0.0
1,"""Market is in capitulation""",in,in,is_single_word,0,2,0.5,0,0.0,capitulation,crypto_slang_dataset,slang,El mercado está en capitulación.,The market is in capitulation.,in,100.0,0.0,0.0,السوق في الاستسلام,The market in surrender.,in,100.0,0.0,0.0,市場已經進入崩潰階段。,The market has entered a stage of collapse.,entered,22.22222222222222,1.0,0.0,市場は屈服している。,The market is defeated.,is,50.0,1.0,0.0,2.0,2.0,0,,,,,,,,,,,,,,,,,0.0
1,"""Market is in capitulation""",capitulation,capitulation,is_single_word,1,3,0.75,0,0.0,capitulation,crypto_slang_dataset,slang,El mercado está en capitulación.,The market is in capitulation.,capitulation,100.0,0.0,0.0,السوق في الاستسلام,The market in surrender.,in,28.57142857142857,1.0,0.0,市場已經進入崩潰階段。,The market has entered a stage of collapse.,collapse,30.000000000000004,1.0,0.0,市場は屈服している。,The market is defeated.,market,22.22222222222222,1.0,0.0,3.0,1.0,0,,,,,,,,,,,,,,,,,0.0
2,"""Altcoins are bleeding""",Altcoins,altcoins,is_single_word,0,0,0.75,0,0.0,bleeding,crypto_slang_dataset,slang,"""Las altmonedas están sangrando""",The high-denomination bills are bleeding.,bleeding,37.5,1.0,0.0,"""التكاثفات المالية في حال انكماش""",Financial Repression in the Event of Contraction.,contraction,42.10526315789473,1.0,0.0,其他加密貨幣正在大量流失,Other cryptocurrencies are losing value rapidly.,losing,57.14285714285714,1.0,0.0,アルトコインは血を流している。,Altcoin is bleeding.,altcoin,93.33333333333331,0.0,0.0,3.0,1.0,0,,,,,,,,,,,,,,,,,0.0
2,"""Altcoins are bleeding""",are,are,is_single_word,0,1,0.5,0,0.0,bleeding,crypto_slang_dataset,slang,"""Las altmonedas están sangrando""",The high-denomination bills are bleeding.,are,100.0,0.0,0.0,"""التكاثفات المالية في حال انكماش""",Financial Repression in the Event of Contraction.,the,33.333333333333336,1.0,0.0,其他加密貨幣正在大量流失,Other cryptocurrencies are losing value rapidly.,are,100.0,0.0,0.0,アルトコインは血を流している。,Altcoin is bleeding.,altcoin,20.0,1.0,0.0,2.0,2.0,0,,,,,,,,,,,,,,,,,0.0
2,"""Altcoins are bleeding""",bleeding,bleeding,is_single_word,1,2,0.5,0,0.0,bleeding,crypto_slang_dataset,slang,"""Las altmonedas están sangrando""",The high-denomination bills are bleeding.,bleeding,100.0,0.0,0.0,"""التكاثفات المالية في حال انكماش""",Financial Repression in the Event of Contraction.,event,46.15384615384615,1.0,0.0,其他加密貨幣正在大量流失,Other cryptocurrencies are losing value rapidly.,losing,57.14285714285714,1.0,0.0,アルトコインは血を流している。,Altcoin is bleeding.,bleeding,100.0,0.0,0.0,2.0,2.0,0,,,,,,,,,,,,,,,,,0.0
