sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset,split,dataset_group,id
2 . 2 . 3 . Dịch mã và Protein Dịch mã là hoạt động tổng hợp protein từ RNA được tạo ra trong quá trình phiên mã .,RNA,acronym,sdu_aaai22_ae_vietnamese,1,0,72,75,dev,vietnamese,
"Learning ( PIRL ) [ 10 ] học biểu diễn ảnh sao cho biểu diễn đó bất biến với phép biến đổi ảnh dựa vào trò chơi xếp hình jigsaw puzzle . Gần đây , những tiến bộ",PIRL,acronym,sdu_aaai22_ae_vietnamese,1,0,11,15,dev,vietnamese,
"làm trước đó và nhóm nghiên cứu hi vọng , phương pháp LCL sẽ đem lại những hiệu ứng và kết quả tốt đẹp , có triển vọng trong tương lai . 4.3",LCL,acronym,sdu_aaai22_ae_vietnamese,1,0,54,57,dev,vietnamese,
Điều này mở ra một hướng có thể áp dụng VBD trong các phương pháp thuộc lớp tiếp cận dựa trên mở rộng kiến trúc đã có . 41,VBD,acronym,sdu_aaai22_ae_vietnamese,1,0,40,43,dev,vietnamese,
"Hà Nội , ngày 18 tháng 06 năm 2021 Giảng viên hướng dẫn PGS. TS Thân Quang Khoát",PGS.,acronym,sdu_aaai22_ae_vietnamese,1,0,56,60,dev,vietnamese,
"Hà Nội , ngày 18 tháng 06 năm 2021 Giảng viên hướng dẫn PGS. TS Thân Quang Khoát",TS,acronym,sdu_aaai22_ae_vietnamese,1,0,61,63,dev,vietnamese,
Mô hình Neural Collaborative Filtering ( NCF ) do Xiangnan He và các đồng nghiệp đề xuất [ 3 ] . Model này gồm có hai nhánh hợp thành là Generalized Matrix,NCF,acronym,sdu_aaai22_ae_vietnamese,1,0,41,44,dev,vietnamese,
độ overfit càng giảm Soft parameter sharing Hình dưới đây mô tả phương pháp soft parameter sharing trong MTL .,MTL,acronym,sdu_aaai22_ae_vietnamese,1,0,105,108,dev,vietnamese,
Tác giả ĐATN Nguyễn Thế Linh 5 . Xác nhận của giáo viên hướng dẫn về mức độ hoàn thành của ĐATN và cho phép bảo vệ :,ĐATN,acronym,sdu_aaai22_ae_vietnamese,1,0,8,12,dev,vietnamese,
Phương pháp tiếp cận dựa trên Support Vector Machine ( SVM ) .. 17 2.2.,SVM,acronym,sdu_aaai22_ae_vietnamese,1,0,55,58,dev,vietnamese,
"Sinh viên thực hiện : Nguyễn Trọng Nhật , 20143316 , K59 , Lớp KSTN - CNTT 20 2 KIẾN THỨC CƠ SỞ",KSTN - CNTT,acronym,sdu_aaai22_ae_vietnamese,0,1,63,74,dev,vietnamese,
"việc học của CL được quyết định nhiều bởi các cặp positive và negative , tuy nhiên Đồ án tốt nghiệp 30",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,13,15,dev,vietnamese,
"cách ghép khác nhau : sum , concat , mul , … Cấu trúc này cho phép các mạng có cả thông tin lùi và tiến về chuỗi ở mỗi bước . Hình 3 Mạng nơ-ron hồi quy mở rộng RNN hai chiều",RNN,acronym,sdu_aaai22_ae_vietnamese,1,0,161,164,dev,vietnamese,
"cách ghép khác nhau : sum , concat , mul , … Cấu trúc này cho phép các mạng có cả thông tin lùi và tiến về chuỗi ở mỗi bước . Hình 3 Mạng nơ-ron hồi quy mở rộng RNN hai chiều",Mạng nơ-ron hồi quy,long_form,sdu_aaai22_ae_vietnamese,0,1,133,152,dev,vietnamese,
"Đại học Bách Khoa Hà Nội Viện Công nghệ Thông tin và Truyền thông Trong các phương pháp thuộc CL , bên cạnh cặp positive và negative , người ta còn",CL,acronym,sdu_aaai22_ae_vietnamese,1,0,94,96,dev,vietnamese,
hình 25 : ACD ca sử dụng xem thông tin bài đăng 3 . 4 . 5 . Tìm kiếm việc làm theo từ khóa,ACD,acronym,sdu_aaai22_ae_vietnamese,1,0,10,13,dev,vietnamese,
Em - Lê Thế Nam - cam kết đồ án nghiên cứu ( ĐANC ) là công trình nghiên cứu của riêng em dưới sự hướng dẫn của ThS. Ngô Văn Linh . Các kết quả có,ĐANC,acronym,sdu_aaai22_ae_vietnamese,1,0,45,49,dev,vietnamese,
