sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset,split,dataset_group,id
Depreciation ID ( کلید اصلی ) Number شناسه دارائی,ID,acronym,sdu_aaai22_ae_persian,1,0,13,15,dev,persian,
Depreciation ID ( کلید اصلی ) Number شناسه دارائی,شناسه,long_form,sdu_aaai22_ae_persian,1,0,37,42,dev,persian,
شكل 20 - پلان خارجي ساختمان STATCON همانطور كه در شكل مشاهده مي‌شود ابعاد ساختمان آن m6 / 14 × m4 / 27 مي‌باشد كه بسيار كمتر از SVCهاي مدل امپدانس متغير است كه در مثال بعد بررسي خواهد شد .,STATCON,acronym,sdu_aaai22_ae_persian,1,0,28,35,dev,persian,
شكل 20 - پلان خارجي ساختمان STATCON همانطور كه در شكل مشاهده مي‌شود ابعاد ساختمان آن m6 / 14 × m4 / 27 مي‌باشد كه بسيار كمتر از SVCهاي مدل امپدانس متغير است كه در مثال بعد بررسي خواهد شد .,SVCه,acronym,sdu_aaai22_ae_persian,1,0,128,131,dev,persian,
اين خواص باعث مي شوند كه ريز موج براي رادار و سيستمهاي مخابراتي مفيد هستند . از زمان اختراع TWT شكل اصلي آن كم تغيير كرده است ، اگر چه كاربرد اين ابزار امروزه بسيار بهتر است . تقويت كنندگي TWT با فرستادن يك موج RF الكترومغناطيسي به داخل يك ساختار منتشر كننده كه در مجاورت يك پرتو الكتروني قرار دارد بدست مي آيد .,TWT,acronym,sdu_aaai22_ae_persian,1,0,92,95,dev,persian,
اين خواص باعث مي شوند كه ريز موج براي رادار و سيستمهاي مخابراتي مفيد هستند . از زمان اختراع TWT شكل اصلي آن كم تغيير كرده است ، اگر چه كاربرد اين ابزار امروزه بسيار بهتر است . تقويت كنندگي TWT با فرستادن يك موج RF الكترومغناطيسي به داخل يك ساختار منتشر كننده كه در مجاورت يك پرتو الكتروني قرار دارد بدست مي آيد .,RF,acronym,sdu_aaai22_ae_persian,1,0,211,213,dev,persian,
EM23 ماژول خروجی آنالوگ : سیگنالهای دیجیتال CPU S7 - 200 را به سیگنالهای آنالوگ برای پروسه تبدیل می کند . EM235 ماژول ورودی / خروجی آنالوگ :,CPU,acronym,sdu_aaai22_ae_persian,1,0,44,47,dev,persian,
‫ ‪ set metric bandwidth delay reliability ‬‬ ‫ مقادیر متریک مسیر ‪ ELGRP ‬ را تنظیم می کند ‪ . ‬‬ ‫‪loading mtu ‬‬ ‫ } ‪set metric - type { type – 1 | type – 2 ‬‬ ‫ نوع مسیرها را برای ‪ OSPF ‬ تنظیم می کند ‪ .‬‬,ELGRP,acronym,sdu_aaai22_ae_persian,1,0,68,73,dev,persian,
‫ ‪ set metric bandwidth delay reliability ‬‬ ‫ مقادیر متریک مسیر ‪ ELGRP ‬ را تنظیم می کند ‪ . ‬‬ ‫‪loading mtu ‬‬ ‫ } ‪set metric - type { type – 1 | type – 2 ‬‬ ‫ نوع مسیرها را برای ‪ OSPF ‬ تنظیم می کند ‪ .‬‬,OSPF,acronym,sdu_aaai22_ae_persian,1,0,187,191,dev,persian,
‬ استفاده از استعاره شبکه ‬ ‫های اجتماعی برای تعامل بین اشیاء متصل به اینترنت به تازگی ارائه شده و این می تواند اَشکال جدیدی ‬ ‫از ‪ ، M2M ‬ تعامالت و برنامه های مرتبط را فعال کند ‪ .‬‬,M2M,acronym,sdu_aaai22_ae_persian,1,0,135,138,dev,persian,
