sentence,gold_terms,term_type,source_dataset,is_single_word,is_multiword,start_offset,end_offset
her mypsace page was alexisified and now it rocks,alexisified,slang,lm_lexicon_slang,1,0,21,32
william hung is friggin creal,creal,slang,lm_lexicon_slang,1,0,24,29
james is a righteous boob-head,boob-head,slang,lm_lexicon_slang,0,1,21,30
i had sex with a chick last night who had a fly bumpersticker,bumpersticker,slang,lm_lexicon_slang,1,0,48,61
i aspire to be like hedy,hedy,slang,lm_lexicon_slang,1,0,20,24
joseph makes superman look like a wimp and he made chuck norris quiver with fear,joseph,slang,lm_lexicon_slang,1,0,0,6
don't let cuntcy over there see you on the urban dictionary during work,cuntcy,slang,lm_lexicon_slang,1,0,10,16
brittany was half a virgin* when she met tyler but she went full-blow into a creamy facial nonetheless,full-blow,slang,lm_lexicon_slang,0,1,60,69
hayden and brayden went birdwatching in the woods because they liked to build dams in the river,birdwatching,slang,lm_lexicon_slang,1,0,24,36
"you just cooked some black rock i've got some resin, so lets make some flail mix and get really stoned",flail mix,slang,lm_lexicon_slang,0,1,71,80
"battlefield 1942 is awesome, i'll be playing this all day",battlefield 1942,slang,lm_lexicon_slang,0,1,0,16
"man, i hate jerking off, time to call up that bro hole",bro hole,slang,lm_lexicon_slang,0,1,46,54
i would rather smoke dank nuggets than [schwag],dank nuggets,slang,lm_lexicon_slang,0,1,21,33
"its not grabass, its a butt hug",butt hug,slang,lm_lexicon_slang,0,1,23,31
"""how do you get this feckin yoke to work? - computer ""pass me that yoke"" - pencil ""this yoke is feckin broken",yoke,slang,lm_lexicon_slang,1,0,28,32
crimmy is a fucking bastard,crimmy,slang,lm_lexicon_slang,1,0,0,6
"""holy shit, that nipple ninja just pulled a ""guillotine"" on madlwski's fat nips",nipple ninja,slang,lm_lexicon_slang,0,1,17,29
bradley used his battlecat to force a docking session with gary,battlecat,slang,lm_lexicon_slang,1,0,17,26
wow she is such a blemit hanging around her,blemit,slang,lm_lexicon_slang,1,0,18,24
"that woman can do it all, she's a real hausfrau",hausfrau,slang,lm_lexicon_slang,1,0,39,47
"""dude ""i once ate my underwear"" other dude ""that's craxy dude""""",craxy,slang,lm_lexicon_slang,1,0,51,56
