batch,stage,file,rows
medslangbert_batch_0,mt_outputs,mt_preds_mw.csv,1123
medslangbert_batch_0,mt_outputs,mt_preds_sw.csv,37550
medslangbert_batch_0,mt_outputs,thr_metrics.csv,5
medslangbert_batch_0,mt_outputs,mt_metrics_all.csv,3
medslangbert_batch_0,mt_outputs,mt_preds_all.csv,38673
medslangbert_batch_0,sc_outputs,sc_preds_mw.csv,1123
medslangbert_batch_0,sc_outputs,sc_thr_metrics.csv,7
medslangbert_batch_0,sc_outputs,sc_preds_sw.csv,37550
medslangbert_batch_0,sc_outputs,sc_metrics_all.csv,3
medslangbert_batch_0,sc_outputs,sc_scoring_breakdown.csv,38673
medslangbert_batch_0,sc_outputs,sc_preds_all.csv,38673
medslangbert_batch_0,lg_outputs,lg_metrics_all.csv,3
medslangbert_batch_0,lg_outputs,lg_preds_mw.csv,1123
medslangbert_batch_0,lg_outputs,lg_preds_sw.csv,37550
medslangbert_batch_0,lg_outputs,lg_scoring_breakdown.csv,38673
medslangbert_batch_0,lg_outputs,lg_thr_metrics.csv,4
medslangbert_batch_0,lg_outputs,lg_preds_all.csv,38673
medslangbert_batch_0,ma_outputs,ma_metrics_all.csv,3
medslangbert_batch_0,ma_outputs,ma_preds_sw.csv,37550
medslangbert_batch_0,ma_outputs,ma_preds_all.csv,38673
medslangbert_batch_0,ma_outputs,ma_preds_mw.csv,1123
medslangbert_batch_0,ma_outputs,ma_thr_metrics.csv,25
medslangbert_batch_0,lf_outputs,lf_preds_all.csv,38673
medslangbert_batch_0,lf_outputs,lf_weights.csv,4
medslangbert_batch_0,lf_outputs,lf_thr_metrics.csv,8
medslangbert_batch_0,lf_outputs,preds_compiled.csv,38673
medslangbert_batch_0,lf_outputs,lf_preds_mw.csv,1123
medslangbert_batch_0,lf_outputs,lf_metrics_all.csv,3
medslangbert_batch_0,lf_outputs,lf_preds_sw.csv,37550
medslangbert_batch_1,mt_outputs,mt_preds_mw.csv,908
medslangbert_batch_1,mt_outputs,mt_preds_sw.csv,37019
medslangbert_batch_1,mt_outputs,thr_metrics.csv,5
medslangbert_batch_1,mt_outputs,mt_metrics_all.csv,3
medslangbert_batch_1,mt_outputs,mt_preds_all.csv,37927
medslangbert_batch_1,sc_outputs,sc_preds_mw.csv,908
medslangbert_batch_1,sc_outputs,sc_thr_metrics.csv,7
medslangbert_batch_1,sc_outputs,sc_preds_sw.csv,37019
medslangbert_batch_1,sc_outputs,sc_metrics_all.csv,3
medslangbert_batch_1,sc_outputs,sc_scoring_breakdown.csv,37927
medslangbert_batch_1,sc_outputs,sc_preds_all.csv,37927
medslangbert_batch_1,lg_outputs,lg_metrics_all.csv,3
medslangbert_batch_1,lg_outputs,lg_preds_mw.csv,908
medslangbert_batch_1,lg_outputs,lg_preds_sw.csv,37019
medslangbert_batch_1,lg_outputs,lg_scoring_breakdown.csv,37927
medslangbert_batch_1,lg_outputs,lg_thr_metrics.csv,4
medslangbert_batch_1,lg_outputs,lg_preds_all.csv,37927
medslangbert_batch_1,ma_outputs,ma_metrics_all.csv,3
medslangbert_batch_1,ma_outputs,ma_preds_sw.csv,37019
medslangbert_batch_1,ma_outputs,ma_preds_all.csv,37927
medslangbert_batch_1,ma_outputs,ma_preds_mw.csv,908
medslangbert_batch_1,ma_outputs,ma_thr_metrics.csv,25
medslangbert_batch_1,lf_outputs,lf_preds_all.csv,37927
medslangbert_batch_1,lf_outputs,lf_weights.csv,4
medslangbert_batch_1,lf_outputs,lf_thr_metrics.csv,8
medslangbert_batch_1,lf_outputs,preds_compiled.csv,37927
medslangbert_batch_1,lf_outputs,lf_preds_mw.csv,908
medslangbert_batch_1,lf_outputs,lf_metrics_all.csv,3
medslangbert_batch_1,lf_outputs,lf_preds_sw.csv,37019
medslangbert_batch_2,mt_outputs,mt_preds_mw.csv,994
medslangbert_batch_2,mt_outputs,mt_preds_sw.csv,37275
medslangbert_batch_2,mt_outputs,thr_metrics.csv,5
medslangbert_batch_2,mt_outputs,mt_metrics_all.csv,3
medslangbert_batch_2,mt_outputs,mt_preds_all.csv,38269
medslangbert_batch_2,sc_outputs,sc_preds_mw.csv,994
medslangbert_batch_2,sc_outputs,sc_thr_metrics.csv,7
medslangbert_batch_2,sc_outputs,sc_preds_sw.csv,37275
medslangbert_batch_2,sc_outputs,sc_metrics_all.csv,3
medslangbert_batch_2,sc_outputs,sc_scoring_breakdown.csv,38269
medslangbert_batch_2,sc_outputs,sc_preds_all.csv,38269
medslangbert_batch_2,lg_outputs,lg_metrics_all.csv,3
medslangbert_batch_2,lg_outputs,lg_preds_mw.csv,994
