candidate set,score category,score column,gold column,gold comparison,threshold,precision,recall,f1,predicted count,gold count,candidate count
all candidates,surprise,candidate surprise,is_gold,all gold terms,0.192,0.102,1.000,0.184,69583,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,4.822,0.106,1.000,0.192,66722,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,8.136,0.111,1.000,0.199,63859,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,9.736,0.116,1.000,0.208,60969,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,12.114,0.122,1.000,0.217,57996,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,13.855,0.128,1.000,0.228,55073,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,15.538,0.109,0.808,0.193,52254,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,18.041,0.104,0.727,0.182,49278,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,19.444,0.108,0.709,0.187,46391,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,21.509,0.102,0.631,0.176,43549,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,23.166,0.077,0.444,0.132,40629,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,24.613,0.055,0.292,0.092,37731,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,26.564,0.047,0.230,0.078,34808,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,28.071,0.047,0.213,0.077,31905,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,30.115,0.050,0.204,0.080,29067,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,32.492,0.046,0.169,0.072,26083,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,34.855,0.043,0.142,0.066,23177,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,37.007,0.049,0.142,0.073,20289,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,40.875,0.054,0.134,0.077,17409,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,43.772,0.044,0.090,0.059,14459,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,45.994,0.055,0.090,0.068,11619,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,50.116,0.066,0.081,0.072,8748,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,57.722,0.063,0.052,0.057,5870,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,65.460,0.025,0.010,0.015,2923,7071,69632
all candidates,surprise,candidate surprise,is_gold,all gold terms,85.326,0.000,0.000,0.000,70,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,0.192,0.102,1.000,0.184,69583,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,4.314,0.106,1.000,0.192,66718,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,6.049,0.111,1.000,0.199,63886,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,6.678,0.116,1.000,0.208,60942,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,7.139,0.122,1.000,0.217,57960,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,7.632,0.119,0.931,0.212,55168,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,8.000,0.118,0.871,0.208,52255,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,8.286,0.122,0.852,0.214,49323,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,8.555,0.127,0.834,0.220,46463,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,8.714,0.131,0.808,0.226,43546,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,8.893,0.136,0.780,0.231,40618,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,9.057,0.146,0.780,0.247,37654,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,9.217,0.158,0.780,0.263,34806,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,9.418,0.169,0.763,0.277,31909,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,9.610,0.174,0.715,0.280,29034,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,9.785,0.191,0.706,0.301,26060,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,10.023,0.204,0.671,0.313,23217,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,10.302,0.219,0.630,0.325,20319,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,10.560,0.232,0.571,0.330,17395,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,10.845,0.244,0.500,0.328,14531,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,11.200,0.232,0.379,0.288,11570,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,11.609,0.246,0.302,0.271,8682,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,12.032,0.292,0.238,0.263,5761,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,12.744,0.397,0.160,0.228,2838,7071,69632
all candidates,avg surprise,candidate avg surprise,is_gold,all gold terms,16.739,0.000,0.000,0.000,0,7071,69632
all candidates,gap,gap,is_gold,all gold terms,0.000,0.102,1.000,0.184,69632,7071,69632
all candidates,gap,gap,is_gold,all gold terms,2.560,0.106,1.000,0.192,66769,7071,69632
all candidates,gap,gap,is_gold,all gold terms,5.217,0.111,1.000,0.199,63869,7071,69632
all candidates,gap,gap,is_gold,all gold terms,7.278,0.116,1.000,0.208,60939,7071,69632
all candidates,gap,gap,is_gold,all gold terms,8.788,0.122,1.000,0.217,57977,7071,69632
all candidates,gap,gap,is_gold,all gold terms,10.256,0.128,1.000,0.227,55143,7071,69632
all candidates,gap,gap,is_gold,all gold terms,11.653,0.125,0.924,0.220,52219,7071,69632
